"","x"
"1750",63418
"1751",63419
"1752",63420
"1753",63421
"1754",63422
"1755",63423
"1756",63424
"1757",63425
"1758",63426
"1759",63427
"1760",63428
"1761",63429
"1762",63430
"1763",63431
"1764",63432
"1765",63433
"1766",63434
"1767",63435
"1768",63436
"1769",63437
"1770",63438
"1771",63439
"1772",63440
"1773",63441
"1774",63442
"1775",63443
"1776",63444
"1777",63445
"1778",63446
"1779",63447
"1780",63448
"1781",63449
"1782",63450
"1783",63451
"1784",63452
"1785",63453
"1786",63454
"1787",63455
"1788",63456
"1789",63457
"1790",63458
"1791",63459
"1792",63460
"1793",63461
"1794",63865
"1795",63866
"1796",63867
"1797",63868
"1798",63869
"1799",63870
"1800",63871
"1801",63872
"1802",63873
"1803",63874
"1804",63875
"1805",63876
"1806",63877
"1807",63878
"1808",63879
"1809",63880
"1810",63881
"1811",63882
"1812",63883
"1813",63884
"1814",63885
"1815",63886
"1816",63887
"1817",63888
"1818",63889
"1819",63890
"1820",63891
"1821",63892
"1822",63893
"1823",63894
"1824",63895
"1825",63896
"1826",63897
"1827",63898
"1828",63899
"1829",63900
"1830",63901
"1831",63902
"1832",63903
"1833",63904
"1834",63905
"1835",63906
"1836",63907
"1837",63908
"1838",63909
"1839",63910
"1840",63911
"1841",63912
"1842",63913
"1843",63914
"1844",63915
"1845",63916
"1846",63917
"1847",63918
"1848",63919
"1849",63920
"1850",63921
"1851",63922
"1852",63923
"1853",63924
"1854",64328
"1855",64329
"1856",64330
"1857",64331
"1858",64332
"1859",64333
"1860",64334
"1861",64335
"1862",64336
"1863",64337
"1864",64338
"1865",64339
"1866",64340
"1867",64341
"1868",64342
"1869",64343
"1870",64344
"1871",64345
"1872",64346
"1873",64347
"1874",64348
"1875",64349
"1876",64350
"1877",64351
"1878",64352
"1879",64353
"1880",64354
"1881",64355
"1882",64356
"1883",64357
"1884",64358
"1885",64359
"1886",64360
"1887",64361
"1888",64362
"1889",64363
"1890",64364
"1891",64365
"1892",64366
"1893",64367
"1894",64368
"1895",64369
"1896",64370
"1897",64371
"1898",64372
"1899",64373
"1900",64374
"1901",64375
"1902",64376
"1903",64377
"1904",64378
"1905",64379
"1906",64380
"1907",64381
"1908",64382
"1909",64383
"1910",64384
"1911",64385
"1912",64386
"1913",64387
"1914",64388
"1915",64791
"1916",64792
"1917",64793
"1918",64794
"1919",64795
"1920",64796
"1921",64797
"1922",64798
"1923",64799
"1924",64800
"1925",64801
"1926",64802
"1927",64803
"1928",64804
"1929",64805
"1930",64806
"1931",64807
"1932",64808
"1933",64809
"1934",64810
"1935",64811
"1936",64812
"1937",64813
"1938",64814
"1939",64815
"1940",64816
"1941",64817
"1942",64818
"1943",64819
"1944",64820
"1945",64821
"1946",64822
"1947",64823
"1948",64824
"1949",64825
"1950",64826
"1951",64827
"1952",64828
"1953",64829
"1954",64830
"1955",64831
"1956",64832
"1957",64833
"1958",64834
"1959",64835
"1960",64836
"1961",64837
"1962",64838
"1963",64839
"1964",64840
"1965",64841
"1966",64842
"1967",64843
"1968",64844
"1969",64845
"1970",64846
"1971",64847
"1972",64848
"1973",64849
"1974",64850
"1975",64851
"1976",65255
"1977",65256
"1978",65257
"1979",65258
"1980",65259
"1981",65260
"1982",65261
"1983",65262
"1984",65263
"1985",65264
"1986",65265
"1987",65266
"1988",65267
"1989",65268
"1990",65269
"1991",65270
"1992",65271
"1993",65272
"1994",65273
"1995",65274
"1996",65275
"1997",65276
"1998",65277
"1999",65278
"2000",65279
"2001",65280
"2002",65281
"2003",65282
"2004",65283
"2005",65284
"2006",65285
"2007",65286
"2008",65287
"2009",65288
"2010",65289
"2011",65290
"2012",65291
"2013",65292
"2014",65293
"2015",65294
"2016",65295
"2017",65296
"2018",65297
"2019",65298
"2020",65299
"2021",65300
"2022",65301
"2023",65302
"2024",65303
"2025",65304
"2026",65305
"2027",65306
"2028",65307
"2029",65308
"2030",65309
"2031",65310
"2032",65311
"2033",65312
"2034",65313
"2035",65314
"2036",65718
"2037",65719
"2038",65720
"2039",65721
"2040",65722
"2041",65723
"2042",65724
"2043",65725
"2044",65726
"2045",65727
"2046",65728
"2047",65729
"2048",65730
"2049",65731
"2050",65732
"2051",65733
"2052",65734
"2053",65735
"2054",65736
